path,predicted_idx,confidence
data\raw\skipper\063.jpg,40,0.9936712980270386
data\raw\skipper\040.jpg,40,0.9806776642799377
data\raw\skipper\065.jpg,40,0.9919141530990601
data\raw\skipper\020.jpg,40,0.9225192666053772
data\raw\skipper\079.jpg,40,0.9997009038925171
data\raw\skipper\023.jpg,40,0.999535083770752
data\raw\skipper\055.jpg,40,0.9992293119430542
data\raw\skipper\075.jpg,40,0.9995146989822388
data\raw\skipper\009.jpg,40,0.9995890259742737
data\raw\skipper\041.jpg,40,0.9948451519012451
data\raw\skipper\112.jpg,40,0.9714779257774353
data\raw\skipper\018.jpg,38,1.1661442840704694e-05
data\raw\skipper\029.jpg,40,0.9999250173568726
data\raw\skipper\056.jpg,40,0.999423623085022
data\raw\skipper\093.jpg,40,0.9999043941497803
data\raw\skipper\053.jpg,40,0.9923285841941833
data\raw\skipper\046.jpg,40,0.9990034699440002
data\raw\skipper\034.jpg,39,0.41458582878112793
