path,predicted_idx,confidence
data\raw\skipper\063.jpg,40,0.9450108408927917
data\raw\skipper\040.jpg,40,0.974467396736145
data\raw\skipper\065.jpg,40,0.9996744394302368
data\raw\skipper\020.jpg,40,0.9994099140167236
data\raw\skipper\079.jpg,40,0.9945458173751831
data\raw\skipper\023.jpg,40,0.9999209642410278
data\raw\skipper\055.jpg,40,0.9979457259178162
data\raw\skipper\075.jpg,40,0.8084256649017334
data\raw\skipper\009.jpg,40,0.9999665021896362
data\raw\skipper\041.jpg,13,0.25883540511131287
data\raw\skipper\112.jpg,28,0.001578867668285966
data\raw\skipper\018.jpg,22,0.003915142267942429
data\raw\skipper\029.jpg,40,0.9397844672203064
data\raw\skipper\056.jpg,40,0.9828684329986572
data\raw\skipper\093.jpg,40,0.9995429515838623
data\raw\skipper\053.jpg,17,6.003097223583609e-05
data\raw\skipper\046.jpg,40,0.9895648956298828
data\raw\skipper\034.jpg,40,0.9429593682289124
