path,predicted_idx,confidence
data\raw\skipper\063.jpg,40,0.9997066855430603
data\raw\skipper\040.jpg,40,0.9980408549308777
data\raw\skipper\065.jpg,40,0.9999697208404541
data\raw\skipper\020.jpg,40,0.9764971733093262
data\raw\skipper\079.jpg,40,0.9999809265136719
data\raw\skipper\023.jpg,40,1.0
data\raw\skipper\055.jpg,40,0.9999985694885254
data\raw\skipper\075.jpg,40,0.9999994039535522
data\raw\skipper\009.jpg,40,0.9999995231628418
data\raw\skipper\041.jpg,40,0.998068630695343
data\raw\skipper\112.jpg,14,0.2233218103647232
data\raw\skipper\018.jpg,3,2.6411584030938684e-07
data\raw\skipper\029.jpg,40,0.9999998807907104
data\raw\skipper\056.jpg,40,0.9997203946113586
data\raw\skipper\093.jpg,40,1.0
data\raw\skipper\053.jpg,40,0.989570140838623
data\raw\skipper\046.jpg,40,0.9991313815116882
data\raw\skipper\034.jpg,40,0.9937846660614014
