path,predicted_idx,confidence
data\raw\skipper\063.jpg,40,0.9939286708831787
data\raw\skipper\040.jpg,40,0.9252464175224304
data\raw\skipper\065.jpg,40,0.9739974737167358
data\raw\skipper\020.jpg,40,0.9662657380104065
data\raw\skipper\079.jpg,40,0.992179274559021
data\raw\skipper\023.jpg,40,0.9980872273445129
data\raw\skipper\055.jpg,40,0.9975023865699768
data\raw\skipper\075.jpg,40,0.995497465133667
data\raw\skipper\009.jpg,40,0.9899064898490906
data\raw\skipper\041.jpg,40,0.9881415367126465
data\raw\skipper\112.jpg,40,0.8862956166267395
data\raw\skipper\018.jpg,38,2.3114462237572297e-05
data\raw\skipper\029.jpg,40,0.9745255708694458
data\raw\skipper\056.jpg,40,0.9924145340919495
data\raw\skipper\093.jpg,40,0.999535322189331
data\raw\skipper\053.jpg,40,0.9260080456733704
data\raw\skipper\046.jpg,40,0.9989129304885864
data\raw\skipper\034.jpg,40,0.7304008603096008
